file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,54,css,fd96cacc,ananyakw,2026-04-25,21:17:59,-07:00,2026-04-25T21:17:59-07:00,1,20
style.css,55,css,fd96cacc,ananyakw,2026-04-25,21:17:59,-07:00,2026-04-25T21:17:59-07:00,0,0
style.css,56,css,fd96cacc,ananyakw,2026-04-25,21:17:59,-07:00,2026-04-25T21:17:59-07:00,0,0
style.css,57,css,fd96cacc,ananyakw,2026-04-25,21:17:59,-07:00,2026-04-25T21:17:59-07:00,0,4
style.css,58,css,fd96cacc,ananyakw,2026-04-25,21:17:59,-07:00,2026-04-25T21:17:59-07:00,1,12
style.css,59,css,fd96cacc,ananyakw,2026-04-25,21:17:59,-07:00,2026-04-25T21:17:59-07:00,1,30
style.css,60,css,fd96cacc,ananyakw,2026-04-25,21:17:59,-07:00,2026-04-25T21:17:59-07:00,1,7
style.css,61,css,fd96cacc,ananyakw,2026-04-25,21:17:59,-07:00,2026-04-25T21:17:59-07:00,1,15
style.css,62,css,fd96cacc,ananyakw,2026-04-25,21:17:59,-07:00,2026-04-25T21:17:59-07:00,0,0
style.css,63,css,fd96cacc,ananyakw,2026-04-25,21:17:59,-07:00,2026-04-25T21:17:59-07:00,0,0
style.css,64,css,fd96cacc,ananyakw,2026-04-25,21:17:59,-07:00,2026-04-25T21:17:59-07:00,0,10
style.css,65,css,fd96cacc,ananyakw,2026-04-25,21:17:59,-07:00,2026-04-25T21:17:59-07:00,1,12
style.css,66,css,fd96cacc,ananyakw,2026-04-25,21:17:59,-07:00,2026-04-25T21:17:59-07:00,1,29
style.css,67,css,fd96cacc,ananyakw,2026-04-25,21:17:59,-07:00,2026-04-25T21:17:59-07:00,1,18
style.css,68,css,fd96cacc,ananyakw,2026-04-25,21:17:59,-07:00,2026-04-25T21:17:59-07:00,0,0
style.css,69,css,fd96cacc,ananyakw,2026-04-25,21:17:59,-07:00,2026-04-25T21:17:59-07:00,0,0
style.css,70,css,fd96cacc,ananyakw,2026-04-25,21:17:59,-07:00,2026-04-25T21:17:59-07:00,0,11
style.css,71,css,fd96cacc,ananyakw,2026-04-25,21:17:59,-07:00,2026-04-25T21:17:59-07:00,1,18
style.css,72,css,fd96cacc,ananyakw,2026-04-25,21:17:59,-07:00,2026-04-25T21:17:59-07:00,0,0
style.css,73,css,fd96cacc,ananyakw,2026-04-25,21:17:59,-07:00,2026-04-25T21:17:59-07:00,0,0
style.css,74,css,fd96cacc,ananyakw,2026-04-25,21:17:59,-07:00,2026-04-25T21:17:59-07:00,0,4
style.css,75,css,fd96cacc,ananyakw,2026-04-25,21:17:59,-07:00,2026-04-25T21:17:59-07:00,0,7
style.css,76,css,fd96cacc,ananyakw,2026-04-25,21:17:59,-07:00,2026-04-25T21:17:59-07:00,0,6
style.css,77,css,fd96cacc,ananyakw,2026-04-25,21:17:59,-07:00,2026-04-25T21:17:59-07:00,1,12
style.css,78,css,fd96cacc,ananyakw,2026-04-25,21:17:59,-07:00,2026-04-25T21:17:59-07:00,1,10
